freq,psd_x,psd_y,psd_z,psd_xyz,zv(50.6),mzv(48.0),ei(59.8),2hump_ei(73.2),3hump_ei(89.0)
184.7,3.579e+02,9.741e+01,2.030e+02,6.583e+02,0.579,0.150,0.100,0.096,0.342
186.2,3.705e+02,9.501e+01,2.118e+02,6.773e+02,0.592,0.150,0.103,0.090,0.333
187.8,3.768e+02,9.771e+01,2.173e+02,6.918e+02,0.604,0.150,0.106,0.085,0.322
189.3,3.433e+02,9.349e+01,2.014e+02,6.382e+02,0.614,0.150,0.109,0.080,0.311
190.9,3.119e+02,7.281e+01,1.804e+02,5.651e+02,0.623,0.150,0.113,0.075,0.298
192.5,3.690e+02,5.761e+01,2.062e+02,6.327e+02,0.631,0.150,0.118,0.071,0.285
194.0,4.501e+02,6.707e+01,2.489e+02,7.661e+02,0.637,0.151,0.123,0.067,0.271
195.6,4.703e+02,6.538e+01,2.598e+02,7.955e+02,0.642,0.152,0.129,0.064,0.256
197.2,4.158e+02,5.373e+01,2.332e+02,7.028e+02,0.645,0.153,0.135,0.061,0.241
198.7,3.808e+02,4.590e+01,2.152e+02,6.419e+02,0.647,0.154,0.141,0.059,0.226
