freq,psd_x,psd_y,psd_z,psd_xyz
170.4,2.930e+04,1.639e+04,5.738e+04,1.031e+05
172.0,3.573e+04,1.626e+04,6.752e+04,1.195e+05
173.6,3.926e+04,1.660e+04,7.333e+04,1.292e+05
175.1,3.040e+04,1.343e+04,5.653e+04,1.004e+05
176.7,1.957e+04,8.483e+03,3.647e+04,6.453e+04
178.2,2.068e+04,8.112e+03,3.947e+04,6.826e+04
179.8,2.687e+04,1.022e+04,5.137e+04,8.846e+04
181.4,2.555e+04,1.076e+04,4.801e+04,8.432e+04
182.9,2.165e+04,1.009e+04,4.139e+04,7.313e+04
184.5,2.225e+04,9.551e+03,4.321e+04,7.501e+04
186.1,2.420e+04,1.006e+04,4.546e+04,7.972e+04
187.6,2.228e+04,9.665e+03,4.194e+04,7.389e+04
189.2,2.032e+04,9.151e+03,3.903e+04,6.850e+04
190.8,1.878e+04,8.144e+03,3.742e+04,6.434e+04
192.3,1.748e+04,6.741e+03,3.611e+04,6.034e+04
193.9,1.711e+04,5.903e+03,3.648e+04,5.949e+04
195.4,1.586e+04,5.035e+03,3.461e+04,5.551e+04
197.0,1.485e+04,4.577e+03,3.306e+04,5.249e+04
198.6,1.411e+04,3.861e+03,3.175e+04,4.973e+04
